"intGlCode","varTitle","intDisplayOrder","chrDelete","chrPublish","dtCreateDate","dtModifyDate","varIpAddress","PUserGlCode"
"1","Big Fish 95.5 FM","1","N","Y","2015-10-30 02:08:11","2015-11-04 10:33:31","27.54.170.98",
"2","Cable & Wireless (T/A Flow)","2","N","Y","2015-10-30 02:08:11","2017-02-08 18:57:20","189.122.97.169",
"3","Caycom","3","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"4","Cayman Adventist TV Ch. 30","4","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"5","Cayman Christian TV Ch. 21","5","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"6","CayRock 96.5 FM","6","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"7","DataLink","7","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"8","Digicel","8","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"9","Hot 104.1 FM","9","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"10","ICCI 101.1 FM","11","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"11","OfReg","16","N","Y","2015-10-30 02:08:11","2017-06-12 09:05:42","189.122.99.80",
"12","Infinity Broadband (T/A C3)","12","N","Y","2015-10-30 02:08:11","2016-09-13 14:16:23","104.200.151.61",
"13","Island Electronics","13","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"14","Kiss 106.1 FM","14","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"15","Love 103.1 FM","15","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"16","Praise 87.9 FM","17","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"17","Radio Cayman","18","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"18","Rooster 101.9 FM","19","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"19","Spin 94.9 FM","20","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"20","Star 92.7 FM","21","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"21","TeleCayman (T/A Logic)","22","N","N","2015-10-30 02:08:11","2016-09-13 14:17:23","104.200.151.61",
"22","United Telecommunication Services","23","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"23","Vibe 98.9 FM","24","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"24","WestStar TV (T/A Logic)","26","N","Y","2015-10-30 02:08:11","2016-09-13 14:17:43","104.200.151.61",
"25","WestTel (T/A Logic)","27","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"26","X 107.1 FM","28","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11",,
"27","Z99.9 FM","29","N","Y","2015-10-30 02:08:11","2015-10-30 02:08:11","192.168.1.20","1"
"28","HurleyÃ¢â‚¬â„¢s TV Ltd. (Ch. 24 & 27)","10","N","Y","2015-10-30 02:08:11","2017-06-12 09:07:03","189.122.99.80","1"
"29","test","1","Y","Y","2015-11-04 10:30:10","2015-11-04 10:31:53","173.192.46.6","1"
"30","test","1","Y","Y","2015-11-04 19:20:44","2015-11-04 19:21:11","173.192.46.6","2"
"31","Voice 97.7","25","N","Y","2017-06-12 09:14:25","2017-06-12 09:14:25","189.122.99.80","2"
"32","test66","1","Y","Y","2020-02-25 03:35:27","2020-02-25 03:35:36","67.207.88.158","1"
"33","test by netclues","1","Y","Y","2020-02-25 13:08:36","2020-02-25 13:08:49","67.207.88.158","1"
